"","user","line","score"
"1","AADowd",1,-0.252340686028612
"2","AADowd",2,-0.460913702296582
"3","AADowd",3,0.469255122646852
"4","AADowd",4,0.335257703000446
"5","AADowd",5,-0.274321826298972
"6","AADowd",6,-0.972920944608725
"7","AADowd",7,0.433337765035395
"8","AADowd",8,0.677365622077916
"9","AADowd",9,0.214226208810557
"10","AADowd",10,-0.897462260947726
"11","AADowd",11,0.408631197389577
"12","AADowd",12,-0.227511590056073
"13","AADowd",13,-0.798206589291528
"14","AADowd",14,1.3729401672776
"15","AADowd",15,-0.0868888098962986
"16","AADowd",16,0.00108100939590864
"17","AADowd",17,0.18994131522607
"18","AADowd",18,0.32111506406388
"19","AADowd",19,0.182329104946132
"20","AADowd",20,-0.211047536064589
"21","AADowd",21,0.0859037272513262
"22","AADowd",22,0.10659335272651
"23","AADowd",23,0.136346762802705
"24","AADowd",24,1.28492729749222
"25","AADowd",25,-1.52114358640814
"26","AADowd",26,-0.345023982393809
"27","AADowd",27,-0.0891815246224341
"28","AADowd",28,0.235479906132181
"29","AADowd",29,1.80932314710885
"30","AADowd",30,-0.0265253953156572
"31","AADowd",31,-0.451385193141068
"32","AADowd",32,-0.256280358083296
"33","AADowd",33,1.52232537858618
"34","AADowd",34,-0.574335193924131
"35","AADowd",35,-0.705199862298138
"36","AADowd",36,-0.616125080347837
"37","AADowd",37,-1.27530540093477
"38","AADowd",38,0.627322183411883
"39","AADowd",39,-0.705199862298138
"40","AADowd",40,-0.227511590056073
"41","AADowd",41,-0.227511590056073
"42","AADowd",42,-0.951413359763264
"43","AADowd",43,-0.414301056778757
"44","AADowd",44,-1.00945204771259
"45","AADowd",45,1.02741911679271
"46","AADowd",46,-0.15183986164681
"47","AADowd",47,0.704481913482595
"48","AADowd",48,-1.28455021837886
"49","AADowd",49,0.464819817991285
"50","AADowd",50,0.865027137252043
"51","AADowd",51,-0.0118484887202324
"52","AADowd",52,-0.383266066636581
"53","AADowd",53,0.428948822449398
"54","AADowd",54,-0.00470983386519232
"55","AADowd",55,1.46385618570513
"56","AADowd",56,2.00404935859847
"57","AADowd",57,-0.86753996047524
"58","AADowd",58,-0.404465674877039
"59","AADowd",59,-0.149950055382417
"60","AADowd",60,0.426679288758048
"61","AADowd",61,0.421504398706954
"62","AADowd",62,0.803628303117663
"63","AADowd",63,-1.41473601359131
"64","AADowd",64,-0.161299931556767
"65","AADowd",65,-0.0573826641911464
"66","AADowd",66,0.174831695981321
"67","AADowd",67,-1.25815695448772
"68","AADowd",68,0.919397702411313
"69","AADowd",69,1.21378249401887
"70","AADowd",70,0.332436239909448
"71","AADowd",71,-0.492989631286492
"72","AADowd",72,-0.227511590056073
"73","AADowd",73,2.44956566613508
"74","AADowd",74,-0.578671151287761
"75","AADowd",75,-0.590896387489952
"76","AADowd",76,-0.609742568770314
"77","AADowd",77,-0.615912035599573
"78","AADowd",78,0.819371537313207
